Customer ID,Count_x,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Satisfaction Score,Count_y,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,ID,Population
1746-TGTWV,1.0,Male,78.0,No,Yes,No,No,0.0,,1.0,United States,California,Los Angeles,90022.0,"34.02381, -118.156582",34.02381,-118.156582,1.0,Q3,No,0.0,1.0,None,No,0.0,No,Yes,DSL,8.0,No,No,,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,,0.0,20.0,0.0,59.65,21.0,68701.0
2672-OJQZP,1.0,Male,39.0,,No,Yes,No,0.0,3.0,1.0,United States,California,Los Angeles,90022.0,"34.02381, -118.156582",34.02381,-118.156582,1.0,,Yes,,72.0,None,Yes,42.55,Yes,Yes,,18.0,Yes,Yes,Yes,Yes,No,No,No,Yes,,No,,72.1,5016.65,0.0,,3063.6,8080.25,21.0,68701.0
0864-FVJNJ,1.0,Female,32.0,No,No,No,No,0.0,5.0,1.0,United States,,Los Angeles,90022.0,"34.02381, -118.156582",34.02381,-118.156582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,68701.0
4139-JPIAM,1.0,Female,20.0,Yes,No,No,No,,3.0,1.0,United States,California,Los Angeles,90022.0,"34.02381, -118.156582",34.02381,,1.0,Q3,,,7.0,Offer E,Yes,36.49,No,Yes,Fiber Optic,42.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,94.05,633.45,0.0,0.0,255.43,,21.0,68701.0
8499-BRXTD,1.0,Female,74.0,No,Yes,Yes,,1.0,3.0,,,,,,,,,1.0,Q3,Yes,1.0,8.0,Offer E,,48.85,Yes,Yes,Fiber Optic,17.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,,80.65,633.3,0.0,0.0,390.8,1024.1,,
2041-JIJCI,1.0,Male,71.0,No,Yes,No,Yes,3.0,,1.0,United States,California,Los Angeles,,"34.108833, -118.229715",34.108833,-118.229715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7284-BUYEC,1.0,Female,72.0,,Yes,,Yes,,1.0,,,,,,,,,1.0,,No,0.0,27.0,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18.0,No,No,,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,,10.0,89.91,2235.41,,
3196-NVXLZ,1.0,Male,65.0,,Yes,No,No,0.0,1.0,1.0,United States,California,,,"34.097345, -117.906736",34.097345,-117.906736,,Q3,No,0.0,,Offer D,Yes,29.11,No,Yes,Fiber Optic,29.0,No,Yes,,No,No,No,No,,Month-to-Month,Yes,,,1074.3,,0.0,436.65,1510.9499999999998,,
5939-SXWHM,1.0,Male,77.0,No,Yes,Yes,,0.0,,,,,,,,,,1.0,Q3,Yes,1.0,1.0,Offer E,,0.0,No,Yes,DSL,12.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0.0,0.0,40.2,,
1723-HKXJQ,1.0,Female,77.0,No,Yes,No,No,0.0,2.0,,,,,,,,,1.0,Q3,No,0.0,5.0,Offer E,No,0.0,No,,DSL,26.0,No,Yes,No,No,,No,No,Yes,Month-to-Month,,Bank Withdrawal,28.45,131.05,0.0,0.0,0.0,131.05,,
3146-MSEGF,1.0,Female,68.0,No,,No,No,,,,,,,,,,,1.0,Q3,No,0.0,1.0,None,Yes,45.81,Yes,Yes,Fiber Optic,21.0,,,No,No,Yes,No,No,,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0.0,45.81,131.51,,
7929-DMBCV,1.0,Male,75.0,No,,,No,0.0,2.0,,United States,California,Summerland,,,34.420998,-119.60137,1.0,Q3,Yes,3.0,49.0,Offer B,Yes,,Yes,Yes,Fiber Optic,14.0,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0.0,,,,
9115-YQHGA,1.0,Male,69.0,No,Yes,No,No,0.0,,,,,,,,,,1.0,Q3,No,0.0,10.0,None,Yes,5.46,No,Yes,Fiber Optic,24.0,No,Yes,No,,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,,30.0,54.6,773.25,,
5792-JALQC,1.0,Male,75.0,No,Yes,Yes,,0.0,2.0,,,,,,,,,1.0,Q3,No,0.0,1.0,None,Yes,36.92,Yes,Yes,Fiber Optic,6.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,,73.55,0.0,,36.92,110.47,,
5130-IEKQT,1.0,Male,74.0,No,Yes,Yes,No,0.0,3.0,,,,,,,,,1.0,Q3,Yes,1.0,17.0,,Yes,,Yes,Yes,Cable,16.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,0.0,0.0,479.06,2101.51,,
5889-JTMUL,1.0,Male,74.0,No,Yes,Yes,No,0.0,1.0,,,,,,,,,1.0,Q3,Yes,1.0,15.0,None,Yes,45.25,,Yes,Cable,22.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,1345.55,0.0,0.0,678.75,2024.3,,
2165-VOEGB,1.0,Male,76.0,No,,No,No,0.0,3.0,1.0,United States,California,Bayside,,"40.825486, -124.049485",,-124.049485,1.0,Q3,No,0.0,16.0,None,Yes,19.18,Yes,Yes,Fiber Optic,22.0,No,No,No,,Yes,No,No,Yes,,Yes,Bank Withdrawal,86.6,1281.0,0.0,0.0,,1587.88,,
1282-IHQAC,1.0,Female,77.0,No,Yes,No,No,0.0,,,,,,,,,,1.0,Q3,No,,2.0,None,Yes,19.27,Yes,Yes,Fiber Optic,18.0,No,No,No,No,Yes,Yes,No,Yes,,Yes,Bank Withdrawal,93.85,170.85,0.0,0.0,,209.39,,
0014-BMAQU,1.0,Male,76.0,No,Yes,Yes,No,0.0,,1.0,United States,California,San Diego,,"32.957195, -117.202542",32.957195,,1.0,Q3,Yes,,13.0,Offer D,Yes,1.47,No,Yes,Fiber Optic,5.0,No,,No,,No,Yes,No,Yes,Month-to-Month,Yes,,89.05,1169.35,0.0,0.0,19.11,1188.4599999999998,,
4781-ZXYGU,1.0,Male,65.0,No,Yes,No,No,0.0,3.0,1.0,United States,California,San Diego,,"32.957195, -117.202542",32.957195,-117.202542,1.0,Q3,No,,1.0,,,,No,Yes,Fiber Optic,16.0,No,No,No,No,Yes,,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.1,79.1,,0.0,,121.4,,
7572-KPVKK,1.0,Male,68.0,No,,No,No,0.0,2.0,1.0,United States,California,San Diego,,"32.898613, -117.202937",32.898613,-117.202937,1.0,Q3,No,0.0,1.0,Offer E,Yes,39.78,No,Yes,Cable,12.0,No,No,Yes,No,No,,No,Yes,Month-to-Month,Yes,Mailed Check,50.15,50.15,0.0,0.0,39.78,89.93,,
