Customer ID,Churn Category
8185-UPYBR,0
7037-MTYVW,3
4981-FLTMF,2
3722-WPXTK,0
3841-CONLJ,5
7511-YMXVQ,3
7605-BDWDC,4
0701-TJSEF,1
1088-CNNKB,4
6925-BAYGL,0
6898-MDLZW,4
0495-ZBNGW,4
6339-DKLMK,5
1583-IHQZE,5
2812-SFXMJ,0
5144-PQCDZ,4
3173-WSSUE,5
9046-DQMTP,4
2725-KXXWT,3
2017-CCBLH,4
2067-QYTCF,0
1589-AGTLK,0
9355-NPPFS,5
2495-KZNFB,0
3387-PLKUI,5
6348-SNFUS,1
1063-DHQJF,0
9819-FBNSV,0
4565-EVZMJ,1
3230-IUALN,0
7089-RKVSZ,0
3108-PCCGG,0
5307-UVGNB,0
1346-UFHAX,0
9544-PYPSJ,0
7975-JMZNT,0
5968-HYJRZ,0
4817-KEQSP,0
3453-RTHJQ,0
0369-ZGOVK,0
2055-SIFSS,0
0297-RBCSG,0
7036-TYDEC,0
0607-DAAHE,0
5781-RFZRP,0
8519-QJGJD,0
4106-HADHQ,0
2105-PHWON,0
4869-EPIUS,4
7008-LZVOZ,0
6729-FZWSY,0
6261-LHRTG,0
3389-KTRXV,0
4654-GGUII,3
2528-HFYZX,3
1577-HKTFG,0
7176-WIONM,3
5043-TRZWM,0
6583-SZVGP,1
9308-ANMVE,5
2951-QOQTK,0
9073-ZZIAY,4
8661-BOYNW,4
2300-RQGOI,4
6177-PEVRA,5
8519-IMDHU,5
7558-IMLMT,5
9494-BDNNC,3
3106-ULWFW,3
8707-RMEZH,5
8434-PNQZX,0
2410-CIYFZ,4
3891-NLXJB,5
2159-TURXX,4
3096-YXENJ,4
0867-MKZVY,0
8051-HJRLT,5
2626-VEEWG,0
9327-QSDED,0
6641-XRPSU,1
6575-SUVOI,1
9860-LISIZ,1
5396-IZEPB,4
7033-CLAMM,0
4623-ZKHLY,2
2045-BMBTJ,0
8680-CGLTP,3
7760-OYPDY,0
5016-LIPDW,1
4134-BSXLX,5
7445-WMRBW,5
2672-HUYVI,0
3308-MHOOC,5
8563-OYMQY,5
0224-HJAPT,2
1345-ZUKID,5
4883-QICIH,0
7142-HVGBG,4
5419-CONWX,2
4778-IZARL,1
3030-ZKIWL,0
6357-JJPQT,5
3373-YZZYM,0
2000-DHJUY,3
0384-LPITE,5
7853-WNZSY,4
8571-ZCMCX,2
9330-DHBFL,0
7794-JASDG,0
4367-NUYAO,2
7649-PHJVR,4
1810-MVMAI,0
6457-USBER,2
1972-XMUWV,0
3966-HRMZA,4
3629-ZNKXA,5
2305-MRGLV,0
6923-JHPMP,0
7850-THJMU,0
3853-LYGAM,1
4193-ORFCL,0
6993-OHLXR,0
3643-AHCFP,0
9577-WJVCQ,0
5961-VUSRV,0
7379-POKDZ,0
4458-KVRBJ,0
9221-OTIVJ,0
2234-XADUH,0
