,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Satisfaction Score,City,Zip Code,Latitude,Longitude,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Population
0,-inf,4.290459441148391,-inf,0.0,0.0,-inf,-inf,1.0986122886681098,5.081404364984462,11.429837291235726,3.5007791826639933,,-inf,0.0,0.0,3.8501476017100584,-inf,0.6931471805599453,3.293983297355006,-inf,0.0,0.6931471805599453,3.258096538021482,0.6931471805599453,-inf,-inf,-inf,-inf,0.6931471805599453,-inf,0.0,-inf,-inf,1.0986122886681098,4.256321678298823,7.729239707819572,0.489746281539026,-inf,7.144130899065066,8.422642922806249,10.793228949176747
1,0.0,4.1588830833596715,-inf,-inf,-inf,-inf,-inf,1.3862943611198906,5.817111159963204,11.446062078011682,3.5331409560368754,,-inf,-inf,-inf,3.912023005428146,0.6931471805599453,0.0,3.8535460756691697,0.0,-inf,1.0986122886681098,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.6931471805599453,-inf,-inf,3.214867803470662,7.086110647506213,-inf,-inf,7.765569081097317,8.17561795661912,9.982003661774254
2,0.6931471805599453,3.848763764702885,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,-0.8188812627244362,1.6094379124341003,6.104793232414985,11.43083649846971,3.4905187247357468,,0.0,0.0,2.1972245773362196,3.9512437185814275,-inf,0.0,2.341805806147327,0.6931471805599453,0.0,0.0,4.442651256490317,0.0,0.0,-inf,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32280727501391,8.259833383739606,-inf,1.9941279579673004,6.293049524728755,8.390779266560578,9.992688197994429
3,-inf,3.5553480614894135,-inf,-inf,0.0,0.0,1.0986122886681098,1.1630368561846813,6.388561405545629,11.446062078011682,3.5896917385120832,,-inf,0.0,0.0,2.3978952727983707,1.3862943611198906,0.0,3.367640598133313,-inf,-inf,1.0986122886681098,-inf,-inf,-inf,0.6931471805599453,0.6931471805599453,-inf,0.6931471805599453,-inf,-inf,-inf,0.0,0.0,2.9575110607337933,5.194622130209272,-inf,-inf,5.765535870931683,6.213427401674029,9.982003661774254
4,0.0,4.204692619390966,-inf,0.0,0.0,-inf,-inf,1.1630368561846813,5.820082930352362,11.446062078011682,3.5139617708793023,,-inf,0.0,0.0,2.5649493574615367,-inf,0.6931471805599453,3.456316680883235,0.0,0.0,-inf,1.791759469228055,-inf,0.6931471805599453,0.6931471805599453,-inf,0.0,0.0,0.6931471805599453,0.0,-inf,0.0,-inf,4.55650501400681,7.117732533764587,3.8730742552895716,-inf,6.021266038344772,8.021029485879426,9.982003661774254
5,-inf,3.4011973816621555,-inf,-inf,-inf,-inf,-inf,1.1630368561846813,4.983606621708336,11.44270684255746,3.5795682001121985,,0.0,0.6931471805599453,0.7133025382716414,3.4787911854086144,1.791759469228055,0.6931471805599453,3.123640586905112,0.6931471805599453,0.6931471805599453,1.3862943611198906,2.9867138288020505,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.0986122886681098,4.180299457858644,7.729239707819572,0.489746281539026,1.9941279579673004,6.608830534829013,8.021029485879426,9.139703292376742
6,0.0,4.1588830833596715,-inf,-inf,0.0,-inf,-inf,1.0986122886681098,6.388561405545629,11.42984815755286,3.5074347627610867,,-inf,0.0,1.791759469228055,4.276666119016055,-inf,0.0,3.1471649773142003,0.0,0.0,0.6931471805599453,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,4.73707525686803,8.997938917193874,0.489746281539026,-inf,7.423831096330256,9.186236186228776,10.65109924385748
7,0.6931471805599453,3.848763764702885,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,-0.8188812627244362,0.0,6.388561405545629,11.446062078011682,3.5896917385120832,,0.0,0.6931471805599453,0.7133025382716414,3.4787911854086144,1.791759469228055,0.6931471805599453,3.123640586905112,0.6931471805599453,0.6931471805599453,1.3862943611198906,2.9867138288020505,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.0986122886681098,4.180299457858644,7.729239707819572,0.489746281539026,1.9941279579673004,6.608830534829013,8.021029485879426,9.982003661774254
8,0.0,4.2626798770413155,-inf,0.0,-inf,-inf,-inf,1.3862943611198906,6.00388706710654,11.429141601224517,3.5896917385120832,,-inf,-inf,-inf,3.4787911854086144,-inf,-inf,-inf,-inf,0.0,0.0,3.1354942159291497,-inf,-inf,0.6931471805599453,-inf,0.0,0.0,-inf,0.0,0.0,0.0,-inf,3.9130225057612296,7.916971531437747,-inf,1.9941279579673004,-inf,7.916971531437747,6.807934943699926
9,0.0,3.367295829986474,0.0,-inf,-inf,-inf,-inf,0.0,4.189654742026425,11.446062078011682,3.5242940379614542,,-inf,-inf,-inf,1.0986122886681098,-inf,-inf,-inf,-inf,0.6931471805599453,0.0,4.442651256490317,0.0,0.0,-inf,-inf,0.6931471805599453,-inf,-inf,0.0,-inf,0.0,0.0,3.5681232529781366,4.671425981765156,-inf,-inf,-inf,4.671425981765156,9.982003661774254
