Customer ID,Churn Category
1746-TGTWV,Competitor
2672-OJQZP,No Churn
0864-FVJNJ,No Churn
4139-JPIAM,No Churn
8499-BRXTD,Competitor
2041-JIJCI,Competitor
7284-BUYEC,Competitor
3196-NVXLZ,Competitor
5939-SXWHM,Dissatisfaction
1723-HKXJQ,Dissatisfaction
3146-MSEGF,Competitor
7929-DMBCV,Competitor
9115-YQHGA,Competitor
5792-JALQC,Price
5130-IEKQT,Competitor
5889-JTMUL,Competitor
2165-VOEGB,Dissatisfaction
1282-IHQAC,Other
0014-BMAQU,Competitor
4781-ZXYGU,Competitor
7572-KPVKK,Competitor
6557-BZXLQ,Attitude
4727-MCYZG,Other
8241-JUIQO,Competitor
9824-QCJPK,Attitude
3012-VFFMN,Attitude
9786-YWNHU,Attitude
6599-SFQVE,Competitor
5117-IFGPS,Competitor
5419-KLXBN,Dissatisfaction
7921-BEPCI,Dissatisfaction
2115-BFTIW,Dissatisfaction
8199-ZLLSA,Price
1116-DXXDF,Other
5176-OLSKT,Competitor
1047-NNCBF,Dissatisfaction
4702-HDRKD,Price
8421-WZOOW,Price
6584-VQMYT,Dissatisfaction
1135-LMECX,Other
7217-JYHOQ,Competitor
6086-ESGRL,Price
4138-NAXED,Price
3778-FOAQW,Competitor
0396-UKGAI,Other
7321-ZNSLA,Attitude
8016-ZMGMO,Competitor
2869-ADAWR,Competitor
3363-DTIVD,Competitor
0983-TATYJ,Competitor
0657-DOGUM,Price
3736-BLEPA,Attitude
1724-BQUHA,Competitor
2386-OWURY,Dissatisfaction
4430-YHXGG,Other
6769-DYBQN,Competitor
6432-TWQLB,Dissatisfaction
5208-FVQKB,Dissatisfaction
6295-OSINB,Dissatisfaction
1814-WFGVS,Dissatisfaction
4236-UJPWO,Competitor
7801-CEDNV,Competitor
5174-ITUMV,Price
7470-DYNOE,Attitude
3768-NLUBH,Attitude
9076-AXYIK,Competitor
0853-TWRVK,Dissatisfaction
7541-YLXCL,Attitude
2408-TZMJL,Competitor
9907-SWKKF,Dissatisfaction
9259-PACGQ,Other
8591-TKMZH,Competitor
3068-OMWZA,Price
6050-FFXES,Dissatisfaction
2239-CFOUJ,Competitor
6993-YCOBK,Attitude
6859-QNXIQ,Competitor
0347-UBKUZ,Competitor
5687-DKDTV,Competitor
7216-KAOID,No Churn
2823-LKABH,No Churn
7026-YMSBE,No Churn
7449-HVPIV,No Churn
1098-KFQEC,No Churn
0486-LGCCH,No Churn
7493-TPUWZ,No Churn
4390-KYULV,No Churn
0019-EFAEP,No Churn
9548-LIGTA,No Churn
8097-OMULG,No Churn
2661-GKBTK,No Churn
2886-KEFUM,No Churn
7137-RYLPP,No Churn
3317-VLGQT,No Churn
8455-HIRAQ,No Churn
3070-FNFZQ,No Churn
1866-RZZQS,No Churn
2039-JONDJ,No Churn
2344-JMOGN,No Churn
7641-EUYET,No Churn
7758-UJWYS,No Churn
0595-ITUDF,No Churn
7504-UWHNB,No Churn
0060-FUALY,No Churn
4902-OHLSK,No Churn
1307-ATKGB,No Churn
1732-VHUBQ,No Churn
4062-HBMOS,No Churn
5922-ABDVO,No Churn
5977-CKHON,No Churn
0074-HDKDG,No Churn
3583-KRKMD,No Churn
9805-FILKB,No Churn
8397-MVTAZ,No Churn
9495-SKLKD,No Churn
7742-MYPGI,No Churn
1092-WPIVQ,No Churn
2276-YDAVZ,No Churn
3847-BAERP,No Churn
8486-AYEQH,No Churn
8809-XKHMD,No Churn
4846-WHAFZ,No Churn
9364-YKUVW,No Churn
7446-SFAOA,No Churn
6637-KYRCV,No Churn
4307-KWMXE,No Churn
9374-YOLBJ,No Churn
9779-DPNEJ,No Churn
3669-LVWZB,No Churn
0032-PGELS,No Churn
9889-TMAHG,No Churn
1925-LFCZZ,No Churn
0229-LFJAF,No Churn
4553-DVPZG,No Churn
5474-LAMUQ,No Churn
8559-CIZFV,No Churn
4521-WFJAI,No Churn
3097-NNSPB,No Churn
3345-PBBFH,No Churn
8167-GJLRN,No Churn
5924-SNGKP,No Churn
6257-RJOHI,No Churn
9688-YGXVR,No Churn
3058-HJCUY,No Churn
1678-FYZOW,No Churn
4074-SJFFA,No Churn
3969-GYXEL,No Churn
6506-EYCNH,No Churn
2582-FFFZR,No Churn
2592-HODOV,Competitor
5701-SVCWR,Price
7272-QDCKA,Competitor
9554-DFKIC,Competitor
5236-PERKL,Competitor
0842-IWYCP,Competitor
6131-JLWZM,Competitor
6195-MELTI,Dissatisfaction
6996-KNSML,Dissatisfaction
4255-DDUOU,Competitor
8098-LLAZX,Competitor
6158-DWPZT,Competitor
0363-SVHYR,Other
2830-LEWOA,Attitude
3154-CFSZG,Competitor
4554-YGZIH,Competitor
6976-BWGLQ,Other
8709-KRDVL,Competitor
7721-JXEAW,Competitor
5480-XTFFL,Dissatisfaction
6400-BWQKW,Competitor
8076-FEZKJ,Competitor
6967-QIQRV,Competitor
8468-FZTOE,Other
0743-HRVFF,Attitude
4468-YDOVK,Dissatisfaction
0979-MOZQI,Dissatisfaction
3675-EQOZA,Price
2842-JTCCU,Competitor
7711-GQBZC,Competitor
8780-IXSTS,Attitude
8782-NUUOL,Attitude
6481-ESCNL,Competitor
4759-PXTAN,Price
1680-VDCWW,Other
0136-IFMYD,Attitude
4923-ADWXJ,Competitor
8648-PFRMP,Other
1354-YZFNB,Attitude
3269-ATYWD,Attitude
5055-BRMNE,Attitude
4712-AUQZO,Competitor
8725-JEDFD,Competitor
5980-NOPLP,Competitor
4686-GEFRM,Competitor
0820-FNRNX,Competitor
0723-VSOBE,Competitor
9803-FTJCG,Attitude
4636-JGAAI,Competitor
2433-KMEAS,Competitor
0945-TSONX,Competitor
7908-QCBCA,Competitor
9801-NOSHQ,Competitor
8996-ZROXE,Dissatisfaction
6235-VDHOM,Competitor
6437-UDQJM,Dissatisfaction
3703-TTEPD,Dissatisfaction
8132-YPVBX,Competitor
9764-REAFF,Competitor
8980-WQFWL,Other
3793-MMFUH,Attitude
5998-VVEJY,Attitude
4741-WWJQZ,Competitor
7928-VJYAB,Competitor
1334-PDUKM,Competitor
3933-DQPWX,Price
7394-LWLYN,Competitor
7579-OOPEC,Other
0754-EEBDC,Price
5172-MIGPM,Price
3055-OYMSE,Competitor
7614-QVWQL,Price
1658-XUHBX,Dissatisfaction
9795-VOWON,Dissatisfaction
0750-EBAIU,Dissatisfaction
0959-WHOKV,Competitor
0506-LVNGN,Attitude
2911-UREFD,Other
5229-DTFYB,Dissatisfaction
3334-CTHOL,Other
5384-ZTTWP,Dissatisfaction
7356-AYNJP,Attitude
3831-YCPUO,Dissatisfaction
2143-LJULT,Dissatisfaction
1240-HCBOH,Price
3043-TYBNO,Competitor
4404-HIBDJ,Competitor
6861-XWTWQ,Attitude
7660-HDPJV,Competitor
4378-MYPGO,Competitor
4537-DKTAL,Competitor
2294-DMMUS,Competitor
1360-XFJMR,Competitor
6549-BTYPG,Dissatisfaction
1264-BYWMS,Attitude
0679-TDGAK,Attitude
7881-INRLC,Dissatisfaction
9725-SCPZG,Dissatisfaction
0129-QMPDR,Dissatisfaction
2874-YXVVA,Competitor
5136-KCKGI,Dissatisfaction
7442-YGZFK,Price
7530-HDYDS,Price
4501-VCPFK,Competitor
0302-JOIVN,Competitor
3744-ZRRDZ,Attitude
2077-DDHJK,Competitor
3452-SRFEG,Competitor
5261-QSHQM,Price
6791-YBNAK,Dissatisfaction
3197-NNYNB,Competitor
6894-LFHLY,Competitor
3130-ICDUP,Competitor
2408-WITXK,Price
0635-WKOLD,Dissatisfaction
4003-FUSHP,Other
0650-BWOZN,Competitor
9820-RMCQV,Competitor
5014-WUQMG,Dissatisfaction
7668-XCFYV,Competitor
3084-DOWLE,Competitor
8270-RKSAP,Competitor
5148-ORICT,Competitor
3363-EWLGO,Competitor
0021-IKXGC,Price
2499-AJYUA,Dissatisfaction
7110-BDTWG,Dissatisfaction
8958-JPTRR,Attitude
0201-OAMXR,Competitor
3070-BDOQC,Other
7825-GKXMW,Competitor
6522-OIQSX,Other
7566-DSRLQ,Competitor
9453-PATOS,Competitor
0103-CSITQ,Competitor
3842-IYKUE,Attitude
0612-RTZZA,Attitude
7691-KGKGP,Price
5914-GXMDA,Competitor
1625-JAIIY,Dissatisfaction
4291-TPNFG,Competitor
0407-BDJKB,Attitude
5016-IBERQ,Competitor
0174-QRVVY,Other
7909-FIOIY,Price
0463-TXOAK,Competitor
6380-ARCEH,Dissatisfaction
0708-LGSMF,Price
8017-UVSZU,Dissatisfaction
5774-QPLTF,Competitor
9079-LWTFD,Competitor
3612-YVGSJ,Price
8513-OLYGY,Other
1208-NBVFH,Other
2386-LAHRK,Competitor
8388-FYNPZ,Competitor
7771-CFQRQ,Attitude
1042-HFUCW,Attitude
0816-TSPHQ,Attitude
8380-MQINP,Other
6108-OQZDQ,Attitude
4061-UKJWL,Competitor
9026-RNUJS,Other
