Customer ID,Churn Category
9938-EKRGF,1
7379-POKDZ,0
0654-HMSHN,0
2045-BMBTJ,0
0701-TJSEF,1
1226-UDFZR,5
9225-BZLNZ,0
2754-SDJRD,5
2254-DLXRI,0
3629-ZNKXA,5
2636-SJDOU,0
0921-OHLVP,0
6689-VRRTK,2
2858-EIMXH,0
5175-WLYXL,0
0643-OKLRP,0
3097-PYWXL,0
5968-VXZLG,0
9029-FEGVJ,0
4661-NJEUX,0
6620-JDYNW,0
7605-BDWDC,2
5136-GFPMB,1
6261-LHRTG,0
7033-CLAMM,0
6821-BUXUX,0
4072-IPYLT,0
4134-BSXLX,1
0895-DQHEW,0
9313-CDOGY,4
3771-PZOBW,0
5307-DZCVC,1
1729-VLAZJ,0
7558-IMLMT,5
3389-KTRXV,0
4800-VHZKI,0
6429-SHBCB,5
2592-YKDIF,0
0980-FEXWF,0
8670-MEFCP,0
4664-NJCMS,1
7319-ZNRTR,0
3877-JRJIP,0
1552-TKMXS,0
6297-NOOPG,0
1919-RTPQD,0
1088-CNNKB,1
2187-PKZAY,0
2466-NEJOJ,0
2969-VAPYH,1
4971-PUYQO,5
9638-JIQYA,0
3251-YMVWZ,5
8680-CGLTP,3
6521-YYTYI,1
9314-IJWSQ,0
9953-ZMKSM,0
6265-SXWBU,1
4223-WOZCM,4
9619-GSATL,0
0129-KPTWJ,3
7010-BRBUU,0
1303-SRDOK,0
5394-SVGJV,5
5726-CVNYA,0
0567-XRHCU,0
5299-SJCZT,5
3091-FYHKI,5
5515-IDEJJ,0
9644-KVCNC,0
5233-AOZUF,2
2812-SFXMJ,5
3156-QLHBO,0
4445-KWOKW,4
4250-ZBWLV,1
9847-HNVGP,0
0022-TCJCI,0
6180-YBIQI,0
1099-GODLO,0
7228-PAQPD,1
3336-JORSO,1
0946-FKYTX,2
8642-GVWRF,0
4398-HSCJH,0
0962-CQPWQ,0
8984-HPEMB,0
7102-JJVTX,0
2207-QPJED,0
5923-GXUOC,0
6261-RCVNS,0
1442-OKRJE,0
4018-PPNDW,0
9025-ZRPVR,1
7845-URHJN,0
4302-ZYFEL,3
3415-TAILE,5
4007-NHVHI,0
4140-WJAWW,0
8869-LIHMK,0
4822-NGOCH,0
2637-FKFSY,1
0303-UNCIP,0
6870-ECSHE,0
7567-ECMCM,0
5575-GNVDE,0
3106-ULWFW,1
4451-RWASJ,0
4508-OEBEY,0
3146-JTQHR,1
8757-TFHHJ,0
1163-VIPRI,0
3258-SYSWS,0
9867-NNXLC,1
8207-VVMYB,0
4487-ZYJZK,0
1355-KUSBG,5
7799-LGRDP,0
5981-ZVXOT,0
4955-VCWBI,1
4659-NZRUF,1
4588-YBNIB,0
0880-FVFWF,1
6770-XUAGN,1
0485-ZBSLN,1
3597-YASZG,0
2971-SGAFL,0
4424-TKOPW,0
7694-VLBWQ,5
9871-ELEYA,0
4020-KIUDI,0
3318-ISQFQ,0
0895-LNKRC,0
7349-ALMUX,0
6374-NTQLP,0
3096-JRDSO,0
9018-PCIOK,0
9436-ZBZCT,0
4685-TFLLS,0
5707-ORNDZ,1
5248-RPYWW,0
8714-CTZJW,1
6689-KXGBO,0
5126-RCXYW,0
7460-ITWWP,5
9909-DFRJA,0
7134-HBPBS,0
0734-OXWBT,2
4815-GBTCD,0
7020-OZKXZ,1
3133-PZNSR,0
9385-EHGDO,0
8644-XYTSV,0
7547-EKNFS,0
9700-ISPUP,0
9831-BPFRI,3
5481-NTDOH,0
7180-PISOG,1
2692-BUCFV,0
3354-OADJP,0
6680-NENYN,0
3387-PLKUI,1
9894-EZEWG,0
3061-BCKYI,1
4323-ELYYB,5
1333-PBMXB,2
4945-RVMTE,0
9508-ILZDG,0
6927-WTFIV,3
6339-YPSAH,0
9754-CLVZW,0
2809-ILCYT,0
3870-MQAMG,1
2212-LYASK,1
2800-VEQXM,3
0298-XACET,0
0428-AXXLJ,0
7993-PYKOF,0
6608-QQLVK,1
1577-HKTFG,0
6348-SNFUS,0
1230-QAJDW,0
7395-XWZOY,0
6281-FKEWS,0
9355-NPPFS,1
7055-JCGNI,0
8383-SGHJU,0
9025-AOMKI,1
3521-HTQTV,0
1907-YLNYW,5
6416-YJTTB,0
2511-ALLCS,0
4129-LYCOI,1
8652-YHIYU,0
9067-YGSCA,3
9552-TGUZV,0
6072-NUQCB,0
2219-MVUSO,0
8067-NIOYM,1
8155-IBNHG,0
4833-QTJNO,1
3627-FCRDW,0
9332-GYWLO,1
8314-HTWVE,0
3836-FZSDJ,0
0248-PGHBZ,0
6388-TABGU,0
9066-QRSDU,2
5914-DVBWJ,4
8582-KRHPJ,0
4548-SDBKE,0
0458-HEUZG,0
5329-KRDTM,0
8949-JTMAY,0
5376-PCKNB,1
5740-YHGTW,3
4869-EPIUS,1
2968-SSGAA,0
8874-EJNSR,2
5343-SGUBI,0
1022-RKXDR,0
5043-TRZWM,5
4854-CIDCF,0
2625-TRCZQ,0
1555-DJEQW,2
9734-UYXQI,0
8401-EMUWF,1
8847-GEOOQ,0
9762-YAQAA,3
0925-VYDLG,0
7277-KAMWT,0
4277-BWBML,3
9681-KYGYB,0
8592-PLTMQ,0
3551-GAEGL,0
7824-PANSQ,0
8571-ZCMCX,4
0505-SPOOW,0
7036-TYDEC,0
4910-GMJOT,1
1169-WCVAK,0
5321-NTRKC,0
0520-FDVVT,0
7636-XUHWW,4
3946-JEWRQ,1
7860-UXCRM,0
8106-GWQOK,0
1728-CXQBE,0
5825-XJOCM,2
1469-LBJQJ,1
5989-AXPUC,0
3633-CDBUW,0
5995-WWKKG,0
2404-JIBFC,0
1431-CYWMH,0
5816-SCGFC,0
4779-ZGICK,1
8735-NBLWT,0
6933-VLYFX,1
4987-GQWPO,0
1488-PBLJN,0
9944-AEXBM,1
1031-IIDEO,0
9767-FFLEM,0
7872-RDDLZ,0
1150-FTQGN,5
5561-NWEVX,0
6145-NNPNO,0
2506-CLAKW,5
4415-IJZTP,0
2578-JQPHZ,3
2798-NYLMZ,0
6258-NGCNG,0
3643-AHCFP,1
1222-KJNZD,0
7850-THJMU,0
6987-XQSJT,0
7963-GQRMY,0
3696-XRIEN,0
4484-CGXFK,0
0665-XHDJU,1
8280-MQRQN,1
1698-XFZCI,1
9585-KKMFD,0
9117-SHLZX,0
2878-DHMIN,1
1346-UFHAX,4
0439-IFYUN,0
2541-YGPKE,5
7740-BTPUX,0
1075-BGWOH,1
6681-ZSEXG,0
8378-LKJAF,0
5598-IKHQQ,5
4647-MUZON,0
8665-UTDHZ,0
3853-LYGAM,3
6007-TCTST,3
7426-GSWPO,0
4195-PNGZS,0
0142-GVYSN,3
3420-ZDBMA,2
2824-DXNKN,0
8777-MBMTS,1
3320-VEOYC,0
4299-SIMNS,1
0559-CKHUS,1
8739-XNIKG,0
8309-PPCED,5
8548-AWOFC,0
4884-TVUQF,2
5995-OIGLP,0
0585-EGDDA,0
9541-PWTWO,2
0716-BQNDX,1
6319-QSUSR,0
2018-PZKMU,0
0872-JCPIB,0
8050-DVOJX,0
4293-ETKAP,0
6762-QVYJO,0
0027-KWYKW,1
2832-KJCRD,0
1106-HRLKZ,0
2951-QOQTK,1
3966-HRMZA,1
0297-RBCSG,0
7748-UMTRK,3
7853-WNZSY,5
9822-BIIGN,1
5815-HGGHV,1
0639-TSIQW,1
2171-UDMFD,0
1345-ZUKID,1
4458-KVRBJ,0
6723-CEGQI,0
8314-DPQHL,0
9921-EZKBY,0
6849-OYAMU,0
9812-GHVRI,1
7427-AUFPY,0
1236-WFCDV,0
3396-DKDEL,1
4558-FANTW,4
6736-DHUQI,1
5834-ASPWA,0
8019-ENHXU,2
3352-RICWQ,0
7938-OUHIO,1
5056-FIMPT,3
5442-BXVND,0
8292-TYSPY,1
2988-PLAHS,0
4439-JMPMT,0
2017-CCBLH,1
4989-LIXVT,0
4079-ULGFR,0
2379-GYFLQ,0
7982-VCELR,1
0015-UOCOJ,0
3970-XGJDU,0
9931-DCEZH,1
4544-RXFMG,0
2144-ESWKO,0
7898-PDWQE,3
3255-GRXMG,0
3413-BMNZE,5
0270-THENM,4
9330-DHBFL,0
9169-BSVIN,0
9823-EALYC,1
3704-IEAXF,1
2672-DZUOY,0
