Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Satisfaction Score,City,Zip Code,Latitude,Longitude,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Population,Monthly Refunds,Monthly Extra Data Charges,Monthly Long Distance Charges
1746-TGTWV,0.0,78.0,1.0,0.0,1.0,1.0,0.0,,550,90022.0,34.02381,-118.156582,0,1.0,0.0,1.0,0,1.0,0.0,1.0,0.0,1,8.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,0,0.0,0,39.65,,0.0,20.0,0.0,59.65,68701.0,0.0,20.0,0.0
2672-OJQZP,0.0,39.0,1.0,1.0,0.0,1.0,0.0,3.0,550,90022.0,34.02381,-118.156582,1,0.0,,72.0,0,0.0,42.55,0.0,0.0,4,18.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3,1.0,3,72.1,5016.65,0.0,,3063.6,8080.25,68701.0,0.0,,42.55
0864-FVJNJ,1.0,32.0,1.0,1.0,1.0,1.0,0.0,5.0,550,90022.0,34.02381,-118.156582,1,,,,6,,,,,4,,,,,,,,,,3,,3,,,,,,,68701.0,,,
4139-JPIAM,1.0,20.0,0.0,1.0,1.0,1.0,0.0,3.0,550,90022.0,34.02381,,0,,,7.0,5,0.0,36.49,1.0,0.0,2,42.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,1,94.05,633.45,0.0,0.0,255.43,,68701.0,0.0,0.0,36.49
8499-BRXTD,1.0,74.0,1.0,0.0,0.0,0.0,1.0,3.0,1101,,,,0,0.0,1.0,8.0,5,,48.85,0.0,0.0,2,17.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,3,80.65,633.3,0.0,0.0,390.8,1024.1,,0.0,0.0,48.85
2041-JIJCI,0.0,71.0,1.0,0.0,1.0,0.0,3.0,,550,,34.108833,-118.229715,1,,,,6,,,,,4,,,,,,,,,,3,,3,,,,,,,,,,
7284-BUYEC,1.0,72.0,1.0,0.0,,0.0,,1.0,1101,,,,1,1.0,0.0,27.0,3,0.0,3.33,0.0,0.0,2,18.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0,0.0,0,78.05,2135.5,,10.0,89.91,2235.41,,,0.37037037037037035,3.33
3196-NVXLZ,0.0,65.0,1.0,0.0,1.0,1.0,0.0,1.0,1101,,34.097345,-117.906736,0,1.0,0.0,,4,0.0,29.11,1.0,0.0,2,29.0,1.0,0.0,,1.0,1.0,1.0,1.0,,0,0.0,3,,1074.3,,0.0,436.65,1510.9499999999998,,,,
5939-SXWHM,0.0,77.0,1.0,0.0,0.0,1.0,0.0,,1101,,,,0,0.0,1.0,1.0,5,,0.0,1.0,0.0,1,12.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1.0,0,40.2,40.2,0.0,0.0,0.0,40.2,,0.0,0.0,0.0
1723-HKXJQ,1.0,77.0,1.0,0.0,1.0,1.0,0.0,2.0,1101,,,,0,1.0,0.0,5.0,5,1.0,0.0,1.0,,1,26.0,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,0,,0,28.45,131.05,0.0,0.0,0.0,131.05,,0.0,0.0,0.0
3146-MSEGF,1.0,68.0,1.0,0.0,1.0,1.0,0.0,,1101,,,,0,1.0,0.0,1.0,0,0.0,45.81,0.0,0.0,2,21.0,,,1.0,1.0,0.0,1.0,1.0,,0,0.0,0,85.7,85.7,0.0,0.0,45.81,131.51,,0.0,0.0,45.81
7929-DMBCV,0.0,75.0,1.0,0.0,,1.0,0.0,2.0,961,,34.420998,-119.60137,0,0.0,3.0,49.0,2,0.0,,0.0,0.0,2,14.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,1.0,1,90.05,4547.25,0.0,0.0,,,,0.0,0.0,
9115-YQHGA,0.0,69.0,1.0,0.0,1.0,1.0,0.0,,1101,,,,0,1.0,0.0,10.0,0,0.0,5.46,1.0,0.0,2,24.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,0,0.0,0,72.85,688.65,,30.0,54.6,773.25,,,3.0,5.46
5792-JALQC,0.0,75.0,1.0,0.0,0.0,1.0,0.0,2.0,1101,,,,0,1.0,0.0,1.0,0,0.0,36.92,0.0,0.0,2,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0,,73.55,0.0,,36.92,110.47,,0.0,,36.92
5130-IEKQT,0.0,74.0,1.0,0.0,0.0,1.0,0.0,3.0,1101,,,,0,0.0,1.0,17.0,6,0.0,,0.0,0.0,0,16.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,1,100.45,1622.45,0.0,0.0,479.06,2101.51,,0.0,0.0,28.18
5889-JTMUL,0.0,74.0,1.0,0.0,0.0,1.0,0.0,1.0,1101,,,,0,0.0,1.0,15.0,0,0.0,45.25,,0.0,0,22.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0,85.6,1345.55,0.0,0.0,678.75,2024.3,,0.0,0.0,45.25
2165-VOEGB,0.0,76.0,1.0,0.0,1.0,1.0,0.0,3.0,63,,,-124.049485,0,1.0,0.0,16.0,0,0.0,19.18,0.0,0.0,2,22.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,3,0.0,0,86.6,1281.0,0.0,0.0,,1587.88,,0.0,0.0,
1282-IHQAC,1.0,77.0,1.0,0.0,1.0,1.0,0.0,,1101,,,,0,1.0,,2.0,0,0.0,19.27,0.0,0.0,2,18.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3,0.0,0,93.85,170.85,0.0,0.0,,209.39,,0.0,0.0,
0014-BMAQU,0.0,76.0,1.0,0.0,0.0,1.0,0.0,,849,,32.957195,,0,0.0,,13.0,4,0.0,1.47,1.0,0.0,2,5.0,1.0,,1.0,,1.0,0.0,1.0,0.0,0,0.0,3,89.05,1169.35,0.0,0.0,19.11,1188.4599999999998,,0.0,0.0,1.47
4781-ZXYGU,0.0,65.0,1.0,0.0,1.0,1.0,0.0,3.0,849,,32.957195,-117.202542,0,1.0,,1.0,6,,,1.0,0.0,2,16.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0,0.0,0,79.1,79.1,,0.0,,121.4,,,0.0,
7572-KPVKK,0.0,68.0,1.0,0.0,1.0,1.0,0.0,2.0,849,,32.898613,-117.202937,0,1.0,0.0,1.0,5,0.0,39.78,1.0,0.0,0,12.0,1.0,1.0,0.0,1.0,1.0,,1.0,0.0,0,0.0,2,50.15,50.15,0.0,0.0,39.78,89.93,,0.0,0.0,39.78
6557-BZXLQ,0.0,71.0,1.0,0.0,,1.0,0.0,2.0,366,,34.136306,-118.26036,0,1.0,0.0,1.0,5,,15.28,1.0,0.0,4,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,0,45.1,45.1,,,15.28,,,,,15.28
4727-MCYZG,0.0,75.0,1.0,0.0,1.0,1.0,0.0,3.0,811,,34.200175,,0,1.0,0.0,1.0,5,1.0,0.0,1.0,0.0,1,26.0,,0.0,0.0,1.0,1.0,,1.0,0.0,0,0.0,0,43.3,43.3,0.0,0.0,0.0,43.3,,0.0,0.0,0.0
8241-JUIQO,1.0,73.0,1.0,0.0,1.0,1.0,0.0,2.0,849,,32.825086,-117.199424,1,,,,6,,,,,4,,,,,,,,,,3,,3,,,,,,,,,,
9824-QCJPK,0.0,75.0,1.0,0.0,0.0,1.0,0.0,3.0,1101,,,,0,0.0,1.0,29.0,0,0.0,25.78,0.0,0.0,2,28.0,1.0,,0.0,,,0.0,0.0,1.0,0,0.0,3,98.5,3004.15,37.55,40.0,747.62,3754.22,,1.2948275862068965,1.3793103448275863,25.78
3012-VFFMN,1.0,68.0,1.0,0.0,1.0,1.0,0.0,3.0,219,,33.600987,-117.862734,1,1.0,0.0,1.0,0,0.0,43.61,1.0,0.0,2,2.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0,0.0,3,91.3,91.3,0.0,0.0,43.61,134.91,,0.0,0.0,43.61
9786-YWNHU,1.0,78.0,1.0,0.0,0.0,1.0,0.0,1.0,660,,33.62251,-117.927024,0,0.0,4.0,,0,0.0,17.35,0.0,,2,23.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0,100.8,100.8,0.0,0.0,17.35,118.15,,,,
6599-SFQVE,1.0,79.0,1.0,0.0,1.0,1.0,0.0,,1101,,,,1,1.0,0.0,21.0,0,0.0,,0.0,0.0,2,9.0,,1.0,1.0,,0.0,0.0,1.0,0.0,0,0.0,3,94.25,1973.75,,0.0,444.15,2417.9,,,0.0,21.15
5117-IFGPS,,65.0,1.0,0.0,0.0,1.0,0.0,1.0,1101,,,,1,0.0,1.0,40.0,6,0.0,49.5,0.0,,2,20.0,1.0,,1.0,1.0,,0.0,0.0,0.0,0,0.0,3,,3640.45,0.0,,1980.0,5620.45,,0.0,,49.5
5419-KLXBN,0.0,76.0,1.0,0.0,0.0,1.0,0.0,1.0,1101,,,,0,0.0,,46.0,6,0.0,49.11,0.0,0.0,4,17.0,0.0,,0.0,1.0,0.0,1.0,1.0,,0,0.0,0,100.7,4541.2,46.64,0.0,2259.06,6753.619999999999,,1.0139130434782608,0.0,49.11
7921-BEPCI,0.0,65.0,1.0,0.0,0.0,1.0,0.0,2.0,863,,36.125529,-120.864443,0,0.0,1.0,36.0,0,0.0,24.54,0.0,0.0,2,5.0,1.0,,1.0,1.0,,0.0,0.0,,0,0.0,1,85.25,3132.75,0.0,0.0,,4016.19,,0.0,0.0,
2115-BFTIW,0.0,79.0,1.0,0.0,1.0,1.0,0.0,1.0,1101,,,,0,1.0,0.0,45.0,0,0.0,10.67,1.0,0.0,1,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1,1.0,1,62.7,2791.5,0.0,0.0,480.15,3271.65,,0.0,0.0,10.67
8199-ZLLSA,0.0,73.0,1.0,0.0,1.0,1.0,0.0,2.0,1101,,,,0,1.0,0.0,25.0,3,0.0,46.34,0.0,0.0,2,22.0,1.0,0.0,0.0,1.0,0.0,,1.0,0.0,0,1.0,1,105.95,2655.25,0.0,0.0,1158.5,3813.75,,0.0,0.0,46.34
1116-DXXDF,1.0,,1.0,0.0,1.0,1.0,0.0,,1101,,,,0,1.0,,10.0,4,1.0,0.0,1.0,,4,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0,34.7,329.8,0.0,0.0,0.0,329.8,,0.0,0.0,0.0
5176-OLSKT,0.0,67.0,1.0,0.0,0.0,1.0,0.0,1.0,1101,,,,0,0.0,1.0,3.0,5,1.0,0.0,1.0,0.0,1,20.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,1,36.45,93.7,0.0,0.0,0.0,93.7,,0.0,0.0,0.0
1047-NNCBF,1.0,68.0,1.0,0.0,1.0,1.0,0.0,2.0,975,,39.24124,,1,,,,6,,,,,4,,,,,,,,,,3,,3,,,,,,,,,,
4702-HDRKD,0.0,73.0,1.0,0.0,1.0,1.0,0.0,,1101,,,,0,1.0,0.0,38.0,3,0.0,5.75,1.0,,4,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0.0,1,,2497.35,0.0,0.0,218.5,2715.85,,0.0,0.0,5.75
8421-WZOOW,0.0,71.0,1.0,0.0,0.0,1.0,0.0,,1101,,,,0,0.0,1.0,1.0,0,0.0,4.89,0.0,0.0,2,11.0,1.0,1.0,,1.0,0.0,0.0,1.0,0.0,0,0.0,0,95.1,95.1,0.0,0.0,4.89,99.99,,0.0,0.0,4.89
6584-VQMYT,0.0,79.0,1.0,0.0,1.0,1.0,0.0,1.0,36,,34.128284,-118.047732,0,1.0,0.0,5.0,0,0.0,4.59,1.0,,2,11.0,1.0,1.0,1.0,1.0,0.0,0.0,,,3,0.0,0,91.4,449.75,,0.0,22.95,472.7,,,0.0,4.59
1135-LMECX,0.0,75.0,1.0,0.0,1.0,1.0,0.0,1.0,672,,34.207295,-118.400022,0,1.0,0.0,5.0,0,,36.36,0.0,,2,12.0,,,1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,3,89.8,502.6,0.0,,,684.4000000000001,,0.0,,
7217-JYHOQ,1.0,75.0,1.0,0.0,0.0,1.0,0.0,1.0,716,,33.384345,,0,0.0,1.0,,5,0.0,6.86,1.0,,1,20.0,1.0,0.0,1.0,1.0,,,1.0,0.0,3,,1,50.15,,0.0,0.0,,128.82,,,,
6086-ESGRL,0.0,70.0,1.0,0.0,0.0,1.0,0.0,3.0,1101,,,,0,0.0,1.0,29.0,3,0.0,35.38,0.0,0.0,2,21.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0,95.9,2745.2,,,1026.02,3821.22,,,,35.38
4138-NAXED,0.0,,1.0,0.0,1.0,1.0,0.0,,1101,,,,0,1.0,0.0,2.0,0,,25.19,0.0,0.0,2,,1.0,1.0,1.0,,,0.0,1.0,0.0,0,0.0,0,93.85,196.75,0.0,0.0,,247.13,,0.0,0.0,
3778-FOAQW,0.0,65.0,1.0,0.0,1.0,1.0,0.0,2.0,500,,33.705836,-117.318204,0,1.0,0.0,1.0,5,0.0,,1.0,0.0,2,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,,3,,71.65,0.0,0.0,28.46,,,0.0,0.0,28.46
0396-UKGAI,0.0,70.0,1.0,0.0,,1.0,0.0,3.0,1101,,,,0,,0.0,1.0,0,0.0,16.19,1.0,,2,12.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,0,1.0,3,,69.1,0.0,0.0,16.19,85.28999999999999,,0.0,0.0,16.19
7321-ZNSLA,0.0,78.0,1.0,0.0,1.0,1.0,0.0,2.0,870,,37.980269,-122.342635,0,1.0,0.0,2.0,0,0.0,43.66,1.0,0.0,1,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0,44.15,92.65,0.0,,87.32,179.97,,0.0,,43.66
8016-ZMGMO,1.0,74.0,1.0,0.0,1.0,1.0,0.0,3.0,873,,38.018065,-122.546024,0,,0.0,8.0,0,0.0,13.8,0.0,0.0,4,6.0,1.0,1.0,1.0,,,1.0,1.0,0.0,0,0.0,0,,,0.0,0.0,110.4,,,0.0,0.0,13.8
2869-ADAWR,,78.0,1.0,0.0,0.0,1.0,0.0,1.0,221,,37.924014,-122.511694,1,,,,6,,,,,4,,,,,,,,,,3,,3,,,,,,,,,,
3363-DTIVD,0.0,74.0,1.0,0.0,,1.0,0.0,1.0,1101,,,,0,0.0,1.0,41.0,2,0.0,45.84,0.0,0.0,2,18.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0,83.75,3273.55,0.0,0.0,1879.44,5152.99,,0.0,0.0,45.84
0983-TATYJ,1.0,68.0,1.0,0.0,,1.0,0.0,,1101,,,,0,,0.0,1.0,0,0.0,,0.0,0.0,4,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0,,85.05,,0.0,16.37,101.42,,,0.0,16.37
0657-DOGUM,1.0,68.0,1.0,0.0,1.0,1.0,0.0,1.0,1101,,,,0,1.0,0.0,4.0,0,0.0,26.23,0.0,0.0,4,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,,0,74.9,,0.0,0.0,,426.67,,0.0,0.0,
3736-BLEPA,1.0,74.0,1.0,0.0,,1.0,0.0,3.0,1101,,,,0,0.0,1.0,66.0,6,0.0,21.7,0.0,0.0,0,3.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,2,0.0,0,80.55,5265.1,0.0,0.0,1432.2,,,0.0,0.0,21.7
1724-BQUHA,1.0,66.0,1.0,0.0,0.0,1.0,0.0,1.0,1101,,,,0,0.0,1.0,65.0,0,0.0,18.69,0.0,0.0,2,30.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,0,106.25,6979.8,0.0,0.0,1214.85,8194.65,,0.0,0.0,18.689999999999998
2386-OWURY,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,1097,,,-121.70606,1,,,,6,,,,,4,,,,,,,,,,3,,3,,,,,,,,,,
